strom_tag,strom_nacht,gas,wasser,timestamp,kommentar
4334,8826,10957,353.86,2020-11-01T10:00:00Z,Rückgerechnet aus Abrechnung Q4
4466,9004,11156.2,359.1,2020-12-23T11:09:41Z,NA
4471,9006,11158.49,359.2,2020-12-24T12:36:32Z,NA
4475,9009,11161.56,359.3,2020-12-25T10:45:25Z,NA
4479,9012,11164.35,359.48,2020-12-26T05:46:57Z,"abwesend am 26., HK abgestellt"
4479,9015,11165.67,359.48,2020-12-27T10:57:57Z,NA
4479,9020,11171.81,359.55,2020-12-28T07:37:40Z,NA
4483,9023,11177.55,359.67,2020-12-29T07:47:50Z,NA
4487,9025,11182.2,359.73,2020-12-30T07:04:31Z,NA
4493,9027,11187.42,359.86,2020-12-31T07:42:17Z,"abwesend ab 31.12. 15 Uhr, HK aus"
4497,9031,11190.45,359.92,2021-01-02T07:29:19Z,NA
4497,9039,11192.19,360.02,2021-01-03T07:41:39Z,NA
4497,9045,11199.57,360.09,2021-01-04T07:19:45Z,NA
4504,9050,11207.57,360.42,2021-01-05T07:35:31Z,NA
4511,9053,11214.49,360.68,2021-01-06T07:55:04Z,NA
4514,9055,11219.8,360.86,2021-01-07T07:11:27Z,NA
4518,9058,11224.11,360.95,2021-01-08T07:34:28Z,NA
4521,9061,11227.99,361.03,2021-01-09T05:53:53Z,NA
4521,9064,11229.67,361.06,2021-01-10T06:32:41Z,"HK Ferien ab letztem Datum, WW um drei Grad aufgeheizt"
4521,9072,11236.31,361.13,2021-01-11T08:01:23Z,NA
4527,9074,11241.62,361.29,2021-01-12T07:04:56Z,NA
4533,9077,11246.93,361.42,2021-01-13T07:41:55Z,NA
4537,9079,11250.83,361.52,2021-01-14T07:09:55Z,NA
4541,9081,11255.2,361.72,2021-01-15T06:55:59Z,NA
4545,9084,11260.57,361.77,2021-01-16T07:41:47Z,NA
4545,9092,11266.05,361.91,2021-01-17T07:30:00Z,NA
4546,9105,11270.57,361.99,2021-01-18T07:14:04Z,NA
4551,9107,11275.43,362.06,2021-01-19T08:02:01Z,NA
4555,9109,11280.03,362.15,2021-01-20T08:00:14Z,NA
4559,9112,11284.22,362.38,2021-01-21T07:44:16Z,NA
4565,9114,11287.57,362.45,2021-01-22T07:53:16Z,NA
4569,9118,11290.3,362.55,2021-01-23T08:02:57Z,NA
4569,9127,11294.08,362.63,2021-01-24T08:33:10Z,NA
4569,9134,11297.6,362.77,2021-01-25T08:08:41Z,NA
4573,9137,11301.7,362.89,2021-01-26T07:46:54Z,NA
4577,9139,11305.94,362.99,2021-01-27T08:09:36Z,NA
4581,9143,11310.26,363.12,2021-01-28T07:49:48Z,NA
4585,9145,11313.18,363.2,2021-01-29T07:58:53Z,NA
4589,9148,11315.83,363.29,2021-01-30T07:35:02Z,NA
4589,9154,11318.74,363.37,2021-01-31T07:54:50Z,NA
4589,9163,11321.76,363.55,2021-02-01T07:15:35Z,NA
4593,9166,11324.71,363.69,2021-02-02T05:56:13Z,NA
4595,9169,11328.02,363.77,2021-02-03T07:49:03Z,NA
4601,9171,11331.6,363.96,2021-02-04T08:06:55Z,airbnb
4605,9174,11334.81,364.16,2021-02-05T07:24:51Z,airbnb
4609,9177,11337.47,364.41,2021-02-06T07:41:11Z,airbnb
4609,9187,11340.55,364.59,2021-02-07T08:45:33Z,NA
4609,9193,11343.61,364.69,2021-02-08T07:37:36Z,NA
4614,9195,11346.98,364.78,2021-02-09T07:49:20Z,NA
4619,9197,11351.12,365.01,2021-02-10T07:51:42Z,NA
4624,9201,11355.58,365.11,2021-02-11T07:43:22Z,NA
4628,9203,11362.01,365.23,2021-02-12T07:57:59Z,NA
4631,9206,11368.51,365.36,2021-02-13T07:46:17Z,NA
4631,9215,11375.73,365.45,2021-02-14T07:51:16Z,NA
4631,9221,11381.89,365.55,2021-02-15T07:43:35Z,NA
4635,9224,11386.55,365.65,2021-02-16T07:37:29Z,NA
4639,9226,11389.65,365.79,2021-02-17T07:30:48Z,NA
4642,9229,11390.45,365.9,2021-02-18T07:35:21Z,NA
4647,9232,11391.004,366.08,2021-02-19T07:19:23Z,NA
4649,9235,11391.53,366.19,2021-02-20T07:52:56Z,NA
4649,9242,11391.87,366.3,2021-02-21T06:32:54Z,NA
4649,9246,11392.09,366.41,2021-02-22T07:03:41Z,NA
4653,9248,11392.48,366.51,2021-02-23T07:28:30Z,NA
4656,9251,11392.88,366.63,2021-02-24T07:25:47Z,NA
4659,9253,11393.1,366.71,2021-02-25T06:29:52Z,NA
4661,9255,11393.52,366.76,2021-02-26T07:29:50Z,NA
4666,9258,11393.72,367,2021-02-27T07:33:46Z,NA
4666,9263,11394.37,367.07,2021-02-28T06:16:52Z,NA
4666,9269,11395.28,367.15,2021-03-01T07:07:01Z,NA
4670,9273,11395.77,367.25,2021-03-02T07:16:19Z,NA
4674,9275,11399.18,367.4,2021-03-03T07:00:15Z,airbnb
4678,9277,11403.1,367.52,2021-03-04T06:25:49Z,airbnb
4681,9279,11406.43,367.72,2021-03-05T06:34:53Z,airbnb
4685,9283,11410.37,367.94,2021-03-06T07:39:25Z,airbnb
4685,9289,11414.11,368.08,2021-03-07T07:47:39Z,airbnb
4685,9294,11417.48,368.23,2021-03-08T06:40:50Z,airbnb
4689,9297,11420.3,368.38,2021-03-09T06:50:20Z,airbnb
4694,9299,11423.03,368.57,2021-03-10T07:35:52Z,airbnb
4698,9302,11425.25,368.74,2021-03-11T07:27:44Z,airbnb
4706,9306,11428.73,368.92,2021-03-12T23:58:00Z,airbnb
